image,label
ISIC_0059444,1
ISIC_0032074,2
ISIC_0059546,3
ISIC_0071726,1
ISIC_0033512,2
ISIC_0030119,1
ISIC_0000534,2
ISIC_0072168,2
ISIC_0059914,3
ISIC_0030324,1
ISIC_0054621,3
ISIC_0063876,2
ISIC_0032377,2
ISIC_0058529,2
ISIC_0056278,4
ISIC_0010857,2
ISIC_0066687,2
ISIC_0062217,3
ISIC_0053501,3
ISIC_0014428_downsampled,1
ISIC_0054792,2
ISIC_0062851,3
ISIC_0031653,2
ISIC_0064161,1
ISIC_0063524,2
ISIC_0064339,1
ISIC_0058776,4
ISIC_0026738,1
ISIC_0063714,3
ISIC_0070315,3
ISIC_0026921,2
ISIC_0024640,1
ISIC_0072016,2
ISIC_0058807,1
ISIC_0002871_downsampled,2
ISIC_0032082,2
ISIC_0033460,5
ISIC_0033623,2
ISIC_0064783,1
ISIC_0026542,2
ISIC_0000311,1
ISIC_0034277,2
ISIC_0055484,2
ISIC_0033409,2
ISIC_0027421,2
ISIC_0030178,2
ISIC_0055918,1
ISIC_0070614,1
ISIC_0029569,2
ISIC_0063763,5
ISIC_0027255,2
ISIC_0030799,2
ISIC_0069515,1
ISIC_0030536,2
ISIC_0071863,2
ISIC_0031231,2
ISIC_0033201,5
ISIC_0062718,2
ISIC_0058021,1
ISIC_0056152,1
ISIC_0014299_downsampled,2
ISIC_0069013,2
ISIC_0030976,5
ISIC_0014826_downsampled,1
ISIC_0058309,3
ISIC_0033888,2
ISIC_0026866,2
ISIC_0053761,1
ISIC_0072185,2
ISIC_0056974,1
ISIC_0024941,2
ISIC_0055399,3
ISIC_0066600,1
ISIC_0053983,2
ISIC_0054771,3
ISIC_0029126,5
ISIC_0033554,6
ISIC_0028331,5
ISIC_0071782,1
ISIC_0031317,2
ISIC_0025305,2
ISIC_0066495,3
ISIC_0063725,1
ISIC_0010070,2
ISIC_0066852,3
ISIC_0033588,2
ISIC_0014577_downsampled,5
ISIC_0061985,5
ISIC_0025547,2
ISIC_0059638,5
ISIC_0068280,1
ISIC_0069319,3
ISIC_0060505,2
ISIC_0028918,2
ISIC_0054450,3
ISIC_0062925,1
ISIC_0071883,2
ISIC_0025523,2
ISIC_0030484,2
ISIC_0058436,2
ISIC_0026696,2
ISIC_0033711,2
ISIC_0029510,2
ISIC_0068993,1
ISIC_0010079,2
ISIC_0000048_downsampled,2
ISIC_0062666,3
ISIC_0057050,3
ISIC_0033386,2
ISIC_0070020,1
ISIC_0064269,3
ISIC_0024416,2
ISIC_0053621,3
ISIC_0014974_downsampled,2
ISIC_0066149,2
ISIC_0063736,3
ISIC_0068131,2
ISIC_0028657,2
ISIC_0056921,1
ISIC_0066574,2
ISIC_0027403,2
ISIC_0033537,2
ISIC_0000431_downsampled,2
ISIC_0063835,2
ISIC_0012435_downsampled,1
ISIC_0015544_downsampled,2
ISIC_0028055,2
ISIC_0030606,7
ISIC_0026621,2
ISIC_0026485,2
ISIC_0029743,2
ISIC_0062341,3
ISIC_0028132,8
ISIC_0066473,3
ISIC_0013580_downsampled,5
ISIC_0026973,2
ISIC_0060612,2
ISIC_0028123,5
ISIC_0032167,2
ISIC_0068742,3
ISIC_0027463,5
ISIC_0070589,5
ISIC_0056094,5
ISIC_0057905,3
ISIC_0032366,2
ISIC_0062569,3
ISIC_0027758,2
ISIC_0055205,1
ISIC_0032328,2
ISIC_0058585,2
ISIC_0000321,2
ISIC_0054286,2
ISIC_0033110,2
ISIC_0024488,2
ISIC_0027798,2
ISIC_0015020_downsampled,2
ISIC_0028524,2
ISIC_0013998_downsampled,2
ISIC_0027980,2
ISIC_0024489,5
ISIC_0065308,3
ISIC_0033641,2
ISIC_0073081,3
ISIC_0055983,2
ISIC_0000514,2
ISIC_0000345,2
ISIC_0053879,4
ISIC_0058939,4
ISIC_0057857,2
ISIC_0060560,5
ISIC_0072492,3
ISIC_0072590,3
ISIC_0065324,1
ISIC_0067240,1
ISIC_0028640,5
ISIC_0028517,4
ISIC_0014438_downsampled,2
ISIC_0054528,1
ISIC_0066990,4
ISIC_0066259,8
ISIC_0063603,2
ISIC_0065063,3
ISIC_0030378,2
ISIC_0029353,1
ISIC_0014187_downsampled,1
ISIC_0056945,2
ISIC_0053713,2
ISIC_0056865,2
ISIC_0025466,5
ISIC_0012374_downsampled,2
ISIC_0058584,3
ISIC_0070032,1
ISIC_0070072,3
ISIC_0031667,2
ISIC_0032406,2
ISIC_0012150_downsampled,2
ISIC_0063002,1
ISIC_0000476,2
ISIC_0066380,3
ISIC_0000473_downsampled,2
ISIC_0069098,1
ISIC_0071483,3
ISIC_0070250,1
ISIC_0028159,2
ISIC_0073125,2
ISIC_0029136,2
ISIC_0059264,1
ISIC_0026529,2
ISIC_0061691,4
ISIC_0012883_downsampled,2
ISIC_0015130_downsampled,2
ISIC_0065687,2
ISIC_0071959,1
ISIC_0012322_downsampled,2
ISIC_0067120,1
ISIC_0025206,2
ISIC_0029859,1
ISIC_0029585,5
ISIC_0068653,4
ISIC_0056788,1
ISIC_0027268,2
ISIC_0028813,2
ISIC_0031718,1
ISIC_0024665,3
ISIC_0031479,1
ISIC_0070247,2
ISIC_0030957,2
ISIC_0029507,2
ISIC_0030255,1
ISIC_0058414,1
ISIC_0026277,5
ISIC_0055604,3
ISIC_0056486,3
ISIC_0068934,2
ISIC_0027842,2
ISIC_0027109,2
ISIC_0062200,2
ISIC_0062970,1
ISIC_0029931,5
ISIC_0064695,5
ISIC_0070891,3
ISIC_0057462,1
ISIC_0027075,2
ISIC_0031132,5
ISIC_0033841,2
ISIC_0066739,2
ISIC_0028599,2
ISIC_0028413,2
ISIC_0063927,4
ISIC_0025005,5
ISIC_0059230,2
ISIC_0024831,2
ISIC_0033472,2
ISIC_0026913,2
ISIC_0059920,3
ISIC_0069373,1
ISIC_0064212,1
ISIC_0029411,2
ISIC_0057506,2
ISIC_0034168,5
ISIC_0030357,2
ISIC_0058747,2
ISIC_0027080,2
ISIC_0054461,5
ISIC_0024322,2
ISIC_0014836_downsampled,2
ISIC_0056721,1
ISIC_0060633,2
ISIC_0024566,2
ISIC_0059526,2
ISIC_0016049_downsampled,2
ISIC_0058211,7
ISIC_0028831,2
ISIC_0031076,2
ISIC_0055958,3
ISIC_0016056_downsampled,2
ISIC_0030274,2
ISIC_0033646,5
ISIC_0031284,3
ISIC_0030172,5
ISIC_0031265,2
ISIC_0072456,5
ISIC_0010449,2
ISIC_0059598,5
ISIC_0028681,5
ISIC_0060458,2
ISIC_0015003_downsampled,2
ISIC_0025050,2
ISIC_0057625,2
ISIC_0056736,2
ISIC_0030452,3
ISIC_0030523,2
ISIC_0031570,8
ISIC_0029225,2
ISIC_0027577,8
ISIC_0000330,2
ISIC_0033645,2
ISIC_0031186,1
ISIC_0056818,5
ISIC_0026752,2
ISIC_0069925,4
ISIC_0024341,2
ISIC_0031886,2
ISIC_0024374,2
ISIC_0027724,2
ISIC_0072642,1
ISIC_0026036,2
ISIC_0072465,3
ISIC_0072165,2
ISIC_0054280,2
ISIC_0068010,2
ISIC_0014229_downsampled,1
ISIC_0053596,2
ISIC_0071289,1
ISIC_0025372,2
ISIC_0070682,3
ISIC_0024963,2
ISIC_0030909,2
ISIC_0068859,5
ISIC_0033660,5
ISIC_0013874_downsampled,1
ISIC_0025062,2
ISIC_0027291,3
ISIC_0026264,2
ISIC_0070363,1
ISIC_0070765,2
ISIC_0025662,2
ISIC_0025002,2
ISIC_0031920,2
ISIC_0065565,3
ISIC_0068351,2
